PC,Target,IsBackward,LocalHistory,Taken
0x7e298552425b,0x7e2985524277,0,0,1
0x7e298552427b,0x7e2985524266,1,0,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,1,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,3,0
0x7e2985524288,0x7e2985524260,1,0,0
0x7e2985524294,0x7e29855242a8,0,0,1
0x7e29855242b4,0x7e29855243a0,0,0,1
0x7e29855243ac,0x7e29855246d0,0,0,1
0x7e29855246dc,0x7e298552426a,1,0,0
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,6,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,13,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,27,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,55,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,111,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,223,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,191,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,127,0
0x7e2985524288,0x7e2985524260,1,0,0
0x7e2985524294,0x7e29855242a8,0,1,0
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,254,0
0x7e2985524288,0x7e2985524260,1,0,0
0x7e2985524294,0x7e29855242a8,0,2,0
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,252,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,249,0
0x7e2985524288,0x7e2985524260,1,0,0
0x7e2985524294,0x7e29855242a8,0,4,0
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,242,0
0x7e2985524288,0x7e2985524260,1,0,0
0x7e2985524294,0x7e29855242a8,0,8,0
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,228,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,201,1
0x7e2985524275,0x7e29855242c8,0,0,0
0x7e298552427b,0x7e2985524266,1,147,1
0x7e2985524275,0x7e29855242c8,0,0,1
0x7e29855242dd,0x7e29855243c8,0,0,0
0x7e29855242ed,0x7e29855242f3,0,0,0
0x7e29855242fd,0x7e2985524303,0,0,1
0x7e298552430d,0x7e2985524313,0,0,0
0x7e298552431d,0x7e2985524323,0,0,0
0x7e2985524330,0x7e2985524336,0,0,0
0x7e2985524340,0x7e2985524346,0,0,1
0x7e2985524350,0x7e2985524356,0,0,0
0x7e2985524360,0x7e2985524366,0,0,0
